city,lons,lats
shanghai,121.4888922,31.3853441
shanghai,121.498938683,31.3850283765
shanghai,121.508945517,31.3840824522
shanghai,121.51887321,31.3825100601
shanghai,121.528682582,31.3803174058
shanghai,121.538334919,31.3775131426
shanghai,121.547792128,31.3741083377
shanghai,121.557016887,31.3701164284
shanghai,121.565972788,31.3655531688
shanghai,121.574624487,31.3604365681
shanghai,121.58293784,31.3547868191
shanghai,121.590880038,31.3486262188
shanghai,121.598419737,31.3419790804
shanghai,121.60552718,31.3348716369
shanghai,121.612174319,31.3273319384
shanghai,121.618334919,31.3193897404
shanghai,121.623984668,31.3110763872
shanghai,121.629101269,31.3024246879
shanghai,121.633664528,31.2934687866
shanghai,121.637656438,31.2842440284
shanghai,121.641061243,31.2747868191
shanghai,121.643865506,31.2651344819
shanghai,121.64605816,31.2553251103
shanghai,121.647630552,31.2453974174
shanghai,121.648576477,31.2353905831
shanghai,121.6488922,31.2253441
shanghai,121.648576477,31.2152976169
shanghai,121.647630552,31.2052907826
shanghai,121.64605816,31.1953630897
shanghai,121.643865506,31.1855537181
shanghai,121.641061243,31.1759013809
shanghai,121.637656438,31.1664441716
shanghai,121.633664528,31.1572194133
shanghai,121.629101269,31.1482635121
shanghai,121.623984668,31.1396118128
shanghai,121.618334919,31.1312984596
shanghai,121.612174319,31.1233562616
shanghai,121.60552718,31.1158165631
shanghai,121.598419737,31.1087091196
shanghai,121.590880038,31.1020619812
shanghai,121.58293784,31.0959013809
shanghai,121.574624487,31.0902516319
shanghai,121.565972788,31.0851350312
shanghai,121.557016887,31.0805717716
shanghai,121.547792128,31.0765798623
shanghai,121.538334919,31.0731750574
shanghai,121.528682582,31.0703707942
shanghai,121.51887321,31.0681781399
shanghai,121.508945517,31.0666057478
shanghai,121.498938683,31.0656598235
shanghai,121.4888922,31.0653441
shanghai,121.478845717,31.0656598235
shanghai,121.468838883,31.0666057478
shanghai,121.45891119,31.0681781399
shanghai,121.449101818,31.0703707942
shanghai,121.439449481,31.0731750574
shanghai,121.429992272,31.0765798623
shanghai,121.420767513,31.0805717716
shanghai,121.411811612,31.0851350312
shanghai,121.403159913,31.0902516319
shanghai,121.39484656,31.0959013809
shanghai,121.386904362,31.1020619812
shanghai,121.379364663,31.1087091196
