1. Los Angeles, United States
2. Mexico City, Mexico
3. Bogota, Colombia
4. Buenos Aires, Argentina
5. Lima, Peru
6. Santiago, Chile
7. Rio de Janeiro, Brazil
8. Toronto, Canada
9. Barcelona, Spain
10. London, England
11. Paris, France
12. Rome, Italy
13. Istanbul, Turkey
14. Cape Town, South Africa
15. Cairo, Egypt
16. Moscow, Russia
17. Kuwait City, Kuwait
18. Mecca, Saudi Arabia
19. Dubai, United Arab Emirates
20. Bangkok, Thailand
21. Kuala Lumpur, Malaysia
22. Jakarta, Indonesia
23. Singapore, Singapore
24. Manila, Philippines
25. Seoul, South Korea
26. Tokyo, Japan
27. Sydney, Australia
28. Guayaquil, Ecuador
29. Santo Domingo, Dominican Republic
30. Caracas, Venezuela
31. Asuncion, Paraguay
32. Lisbon, Portugal
33. Dublin, Ireland
34. Lagos, Nigeria
35. Amsterdam, Netherlands
36. Brussels, Belgium
37. Berlin, Germany
38. Copenhagen, Denmark
39. Prague, Czech Republic
40. Vienna, Austria
41. Stockholm, Sweden
42. Budapest, Hungary
43. Belgrade, Serbia
44. Warsaw, Poland
45. Minsk, Belarus
46. Kiev, Ukraine
47. Athens, Greece
48. Tel Aviv, Israel
49. Amman, Jordan
50. Beirut, Lebanon
51. Baghdad, Iraq
52. Doha, Qatar
53. Baku, Azerbaijan
54. Karachi, Pakistan
55. Mumbai, India
56. Almaty, Kazakhstan
57. Ulan Bator, Mongolia
58. Ho Chi Minh City, Vietnam
59. Beijing, China
60. Taipei, Taiwan
61. San Juan, Puerto Rico
62. Guatemala City, Guatemala
63. San Salvador, El Salvador
64. San Jose, Costa Rica
65. Panama City, Panama
66. Montevideo, Uruguay
67. Casablanca, Morocco
68. Accra, Ghana
69. Abidjan, Ivory Coast
70. Dar es Salaam, Tanzania
71. Nairobi, Kenya
72. Luanda, Angola
73. Sofia, Bulgaria
74. Bucharest, Romania
75. Helsinki, Finland
76. Damascus, Syria
77. Manama, Bahrain
78. Khartoum, Sudan
79. Kampala, Uganda
80. Phnom Pen, Cambodia
81. Dhaka, Bangladesh










