Center,country,lon,lat,total_tweets_10km,total_tweets_220km
London, England,-0.1277583,51.5073509,1200958,6846221
Tokyo, Japan,139.7319925,35.7090259,776317,5070769
Jakarta, Indonesia,106.845599,-6.2087634,722753,6563597
Istanbul, Turkey,28.9783589,41.0082376,690564,4541440
Paris, France,2.3522219,48.856614,609826,1934878
Mexico City, Mexico,-99.133208,19.4326077,553389,2889766
Manila, Philippines,120.9842195,14.5995124,521027,3139690
Bangkok, Thailand,100.5017651,13.7563309,436941,2809187
Barcelona, Spain,2.1734035,41.3850639,411035,1022197
Bogota, Colombia,-74.072092,4.7109886,406964,1358623
Buenos Aires, Argentina,-58.3815591,-34.6036844,389985,2788343
Moscow, Russia,37.6173,55.755826,327892,1708512
Guayaquil, Ecuador,-79.9223592,-2.1709979,320236,711023
Los Angeles, United States,-118.2436849,34.0522342,311817,6009617
Caracas, Venezuela,-66.9036063,10.4805937,298065,977077
Santiago, Chile,-70.6692655,-33.4488897,297336,1252251
Dublin, Ireland,-6.2603097,53.3498053,278403,869971
Toronto, Canada,-79.3831843,43.653226,270127,1732211
Kuala Lumpur, Malaysia,101.686855,3.139003,259088,1965567
Santo Domingo, Dominican Republic,-69.9312117,18.4860575,241505,798158
Rome, Italy,12.4963655,41.9027835,237081,546275
Seoul, South Korea,126.9779692,37.566535,208144,1178936
Amsterdam, Netherlands,4.8951679,52.3702157,196828,2162974
Singapore, Singapore,103.8677444,1.3553794,192777,1188957
Stockholm, Sweden,18.0685808,59.3293235,174177,457806
Sydney, Australia,151.2069902,-33.8674869,162949,446536
Kuwait City, Kuwait,47.9774052,29.375859,159450,1457760
Mecca, Saudi Arabia,39.8579118,21.3890824,153821,2590183
San Salvador, El Salvador,-89.2181911,13.6929403,136218,328956
Berlin, Germany,13.404954,52.5200066,133687,214296
Lima, Peru,-77.0427934,-12.046374,133041,477378
Montevideo, Uruguay,-56.1645314,-34.9011127,132900,296625
Asuncion, Paraguay,-57.575926,-25.2637399,130680,496890
Minsk, Belarus,27.5615244,53.9045398,129018,284350
Cairo, Egypt,31.2357116,30.0444196,122806,537619
Rio de Janeiro, Brazil,-43.1728965,-22.9068467,115953,1667392
Guatemala City, Guatemala,-90.5068824,14.6349149,110430,434630
Beirut, Lebanon,35.4954794,33.8886289,104418,328190
Brussels, Belgium,4.3517103,50.8503396,93065,856639
Doha, Qatar,51.5310398,25.2854473,92274,427358
Dubai, United Arab Emirates,55.2707828,25.2048493,89451,1161085
San Jose, Costa Rica,-84.0907246,9.9280694,84875,310990
Kiev, Ukraine,30.5234,50.4501,74010,248653
Copenhagen, Denmark,12.5683371,55.6760968,73612,279403
Cape Town, South Africa,18.4240553,-33.9248685,69735,216358
Manama, Bahrain,50.5860497,26.2285161,67690,1382055
Vienna, Austria,16.3738189,48.2081743,65871,122999
Taipei, Taiwan,121.5654177,25.0329694,59497,214804
Ulan Bator, Mongolia,106.9057439,47.8863988,59255,69344
San Juan, Puerto Rico,-66.1057355,18.4655394,57715,715341
Nairobi, Kenya,36.8219462,-1.2920659,53228,122403
Belgrade, Serbia,20.4489216,44.786568,52236,109990
Lagos, Nigeria,3.3792057,6.5243793,50919,294254
Lisbon, Portugal,-9.1393366,38.7222524,50886,245411
Prague, Czech Republic,14.4378005,50.0755381,50677,89506
Athens, Greece,23.7293599,37.983917,50666,129614
Amman, Jordan,35.9456951,31.9565783,48929,339402
Helsinki, Finland,24.938379,60.1698557,46188,152548
Mumbai, India,72.8776559,19.0759837,44170,212821
Panama City, Panama,-79.4028639,9.1011785,40369,494392
Tel Aviv, Israel,34.7817676,32.0852999,35982,403172
Baghdad, Iraq,44.3614875,33.3128057,35540,204928
Budapest, Hungary,19.040235,47.497912,35313,72574
Accra, Ghana,-0.1869644,5.6037168,33053,116987
Baku, Azerbaijan,49.8670924,40.4092617,30862,62983
Warsaw, Poland,21.0122287,52.2296756,29014,57437
Almaty, Kazakhstan,76.8512485,43.2220146,23266,60966
Casablanca, Morocco,-7.5898434,33.5731104,18098,53554
Abidjan, Ivory Coast,-4.0082563,5.3599517,17251,34706
Sofia, Bulgaria,23.3218675,42.6977082,17040,33866
Phnom Penh, Cambodia,104.8921668,11.5448729,16953,20789
Kampala, Uganda,32.5825197,0.3475964,14802,27252
Bucharest, Romania,26.1025384,44.4267674,14436,26630
Karachi, Pakistan,67.0099388,24.8614622,13663,67642
Damascus, Syria,36.2765279,33.5138073,12941,352415
Beijing, China,116.407395,39.904211,12478,44001
Ho Chi Minh City, Vietnam,106.6296638,10.8230989,9640,65354
Dar es Salaam, Tanzania,39.2083284,-6.792354,9311,32615
Dhaka, Bangladesh,90.4125181,23.810332,6324,22346
Khartoum, Sudan,32.5598994,15.5006544,4425,35679
Luanda, Angola,13.2894368,-8.8399876,3542,16191
