city,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,sat0,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,hue0,hue1,hue2,hue3,hue4,hue5,hue6,hue7
Kuala Lumpur,0.0767238164537,0.081569875847,0.0850807221793,0.0906125790168,0.0968265951157,0.104703260721,0.108617945336,0.106309518396,0.103384419482,0.146171267452,0.265561871845,0.156623766429,0.129459275092,0.110735367684,0.0927427350039,0.0751175587794,0.0607903951976,0.045484560462,0.0342116512802,0.0292728182273,0.270035017509,0.262234753741,0.0670371549411,0.103428077675,0.0599790804493,0.175787893947,0.0218982218382,0.0395997998999
San Juan,0.0892432246382,0.088337847747,0.0882779881179,0.092019214941,0.0995989404846,0.101035571585,0.102906184996,0.10100564177,0.0962168714365,0.141358514284,0.215217814226,0.148661389043,0.134856262065,0.124059081454,0.104844140491,0.0863624799844,0.0672448109184,0.0478502910674,0.035466830283,0.0354369004684,0.273408856232,0.256752914416,0.0584005507086,0.0740463612828,0.0524744474208,0.214387261871,0.0255226493872,0.0450069586819
Abidjan,0.0727514483807,0.0741760850983,0.082850539779,0.0906068952417,0.0951024155507,0.0981416405483,0.101909013202,0.100927596796,0.102098964764,0.18143540064,0.297495805236,0.136131953019,0.117421724127,0.110710102257,0.0906702124292,0.077088675721,0.0594864976098,0.0416310507487,0.0326400101307,0.0367239687213,0.310317535695,0.223731281856,0.0595498147972,0.111438249913,0.050938677304,0.178902713141,0.0212745749834,0.0438471523095
Manama,0.0875524985451,0.0660342301031,0.0735014689075,0.0789844555226,0.0871528435105,0.0960574381411,0.10621708981,0.114378466306,0.117961338634,0.172160170519,0.272207147515,0.143216732224,0.118543292456,0.102823527762,0.0883167511551,0.0754576751295,0.0614697489185,0.0504687182292,0.0401197562805,0.0473766503299,0.285052200557,0.240178652812,0.076116755362,0.124776508698,0.0540796365243,0.161607875308,0.0194288438751,0.0387595268645
Mexico City,0.0884833964927,0.0898194119021,0.0908574188618,0.0947332029128,0.098810728639,0.102914204539,0.103222258218,0.10070843975,0.0962048289088,0.134246109776,0.238751645953,0.155559573647,0.131707178237,0.114720696603,0.0958616169302,0.0779133046542,0.062507272327,0.0478730484004,0.0370200159552,0.0380856472936,0.278811180674,0.252858495375,0.0634264107477,0.0906330754221,0.0566986188648,0.187414667875,0.0245597469272,0.045597804113
Karachi,0.0727347691114,0.0780219247187,0.0857101280559,0.0932043073341,0.0994858362437,0.100455956539,0.105282305006,0.108459448972,0.109356810244,0.147288513776,0.24529491657,0.143019984478,0.125315289096,0.113819363601,0.0923554520761,0.0790405510283,0.063736903376,0.0529928211098,0.0397506790842,0.0446740395809,0.259943733023,0.250582072177,0.0721769499418,0.107853123787,0.0650223127668,0.189876794723,0.0199117190532,0.0346332945285
Kuwait City,0.101047950481,0.0653479206841,0.0724598163838,0.0802997678093,0.0896295629979,0.0965615530356,0.103853354397,0.10839035031,0.112182424341,0.17022729956,0.284205969495,0.142586481214,0.121225494881,0.10251249501,0.0875212935217,0.0723417532931,0.0599395067212,0.0467529839041,0.0359923764976,0.0469216454622,0.29291733897,0.246068780183,0.0706185943746,0.107957452311,0.0488753085101,0.17162156844,0.0197868117906,0.04215414542
Ho Chi Minh City,0.078543022415,0.0911514822849,0.0838756326826,0.0883947939262,0.0971167751265,0.100912870571,0.104754157628,0.10516088214,0.104166666667,0.145923716558,0.241006869125,0.174168474331,0.140319956616,0.117678958785,0.0922360809834,0.0691883586406,0.0580260303688,0.0435195227766,0.0297360809834,0.0341196673897,0.238159797542,0.236442516269,0.071809472162,0.0920101229212,0.0625,0.229528199566,0.0249005784526,0.0446493130875
Kiev,0.0813765895241,0.0964458064743,0.0952552044806,0.0973475641974,0.0978548029166,0.0986438409243,0.0988551903906,0.098798830533,0.0943393567931,0.141082813766,0.25157631477,0.153024058614,0.128493430554,0.112501320934,0.0951706646941,0.0789953855367,0.0637148191201,0.0479974638064,0.035055831484,0.0334707104865,0.263552784529,0.248631512205,0.057613864525,0.0847581809856,0.0517594843073,0.22526330621,0.0250801366727,0.0433407305647
Montevideo,0.0818215034229,0.0892102285126,0.0932547435514,0.0987531526411,0.110554306622,0.111894020512,0.10551008084,0.0992073359485,0.0908315867998,0.118963041151,0.21934516409,0.155193674927,0.140053385569,0.124661899856,0.0988571834545,0.0795252135169,0.0637708886261,0.0480292504199,0.0358145105223,0.034748829019,0.239641322054,0.251036502129,0.0735979944889,0.108417868941,0.0702893071548,0.196065097916,0.0208695961067,0.0400823112094
