,city,val,sat,hue
0,Kuala Lumpur,"0    0.076724
1    0.081570
2    0.085081
3    0.090613
4    0.096827
5    0.104703
6    0.108618
7    0.106310
8    0.103384
9    0.146171
Name: valbin, dtype: float64","0    0.265562
1    0.156624
2    0.129459
3    0.110735
4    0.092743
5    0.075118
6    0.060790
7    0.045485
8    0.034212
9    0.029273
Name: satbin, dtype: float64","1red        0.270035
2orange     0.262235
3yellow     0.067037
4green      0.103428
5cyan       0.059979
6blue       0.175788
7purple     0.021898
8magenta    0.039600
Name: color, dtype: float64"
1,San Juan,"0    0.089243
1    0.088338
2    0.088278
3    0.092019
4    0.099599
5    0.101036
6    0.102906
7    0.101006
8    0.096217
9    0.141359
Name: valbin, dtype: float64","0    0.215218
1    0.148661
2    0.134856
3    0.124059
4    0.104844
5    0.086362
6    0.067245
7    0.047850
8    0.035467
9    0.035437
Name: satbin, dtype: float64","1red        0.273409
2orange     0.256753
3yellow     0.058401
4green      0.074046
5cyan       0.052474
6blue       0.214387
7purple     0.025523
8magenta    0.045007
Name: color, dtype: float64"
2,Abidjan,"0    0.072751
1    0.074176
2    0.082851
3    0.090607
4    0.095102
5    0.098142
6    0.101909
7    0.100928
8    0.102099
9    0.181435
Name: valbin, dtype: float64","0    0.297496
1    0.136132
2    0.117422
3    0.110710
4    0.090670
5    0.077089
6    0.059486
7    0.041631
8    0.032640
9    0.036724
Name: satbin, dtype: float64","1red        0.310318
2orange     0.223731
3yellow     0.059550
4green      0.111438
5cyan       0.050939
6blue       0.178903
7purple     0.021275
8magenta    0.043847
Name: color, dtype: float64"
3,Manama,"0    0.087552
1    0.066034
2    0.073501
3    0.078984
4    0.087153
5    0.096057
6    0.106217
7    0.114378
8    0.117961
9    0.172160
Name: valbin, dtype: float64","0    0.272207
1    0.143217
2    0.118543
3    0.102824
4    0.088317
5    0.075458
6    0.061470
7    0.050469
8    0.040120
9    0.047377
Name: satbin, dtype: float64","1red        0.285052
2orange     0.240179
3yellow     0.076117
4green      0.124777
5cyan       0.054080
6blue       0.161608
7purple     0.019429
8magenta    0.038760
Name: color, dtype: float64"
4,Mexico City,"0    0.088483
1    0.089819
2    0.090857
3    0.094733
4    0.098811
5    0.102914
6    0.103222
7    0.100708
8    0.096205
9    0.134246
Name: valbin, dtype: float64","0    0.238752
1    0.155560
2    0.131707
3    0.114721
4    0.095862
5    0.077913
6    0.062507
7    0.047873
8    0.037020
9    0.038086
Name: satbin, dtype: float64","1red        0.278811
2orange     0.252858
3yellow     0.063426
4green      0.090633
5cyan       0.056699
6blue       0.187415
7purple     0.024560
8magenta    0.045598
Name: color, dtype: float64"
5,Karachi,"0    0.072735
1    0.078022
2    0.085710
3    0.093204
4    0.099486
5    0.100456
6    0.105282
7    0.108459
8    0.109357
9    0.147289
Name: valbin, dtype: float64","0    0.245295
1    0.143020
2    0.125315
3    0.113819
4    0.092355
5    0.079041
6    0.063737
7    0.052993
8    0.039751
9    0.044674
Name: satbin, dtype: float64","1red        0.259944
2orange     0.250582
3yellow     0.072177
4green      0.107853
5cyan       0.065022
6blue       0.189877
7purple     0.019912
8magenta    0.034633
Name: color, dtype: float64"
6,Kuwait City,"0    0.101048
1    0.065348
2    0.072460
3    0.080300
4    0.089630
5    0.096562
6    0.103853
7    0.108390
8    0.112182
9    0.170227
Name: valbin, dtype: float64","0    0.284206
1    0.142586
2    0.121225
3    0.102512
4    0.087521
5    0.072342
6    0.059940
7    0.046753
8    0.035992
9    0.046922
Name: satbin, dtype: float64","1red        0.292917
2orange     0.246069
3yellow     0.070619
4green      0.107957
5cyan       0.048875
6blue       0.171622
7purple     0.019787
8magenta    0.042154
Name: color, dtype: float64"
7,Ho Chi Minh City,"0    0.078543
1    0.091151
2    0.083876
3    0.088395
4    0.097117
5    0.100913
6    0.104754
7    0.105161
8    0.104167
9    0.145924
Name: valbin, dtype: float64","0    0.241007
1    0.174168
2    0.140320
3    0.117679
4    0.092236
5    0.069188
6    0.058026
7    0.043520
8    0.029736
9    0.034120
Name: satbin, dtype: float64","1red        0.238160
2orange     0.236443
3yellow     0.071809
4green      0.092010
5cyan       0.062500
6blue       0.229528
7purple     0.024901
8magenta    0.044649
Name: color, dtype: float64"
8,Kiev,"0    0.081377
1    0.096446
2    0.095255
3    0.097348
4    0.097855
5    0.098644
6    0.098855
7    0.098799
8    0.094339
9    0.141083
Name: valbin, dtype: float64","0    0.251576
1    0.153024
2    0.128493
3    0.112501
4    0.095171
5    0.078995
6    0.063715
7    0.047997
8    0.035056
9    0.033471
Name: satbin, dtype: float64","1red        0.263553
2orange     0.248632
3yellow     0.057614
4green      0.084758
5cyan       0.051759
6blue       0.225263
7purple     0.025080
8magenta    0.043341
Name: color, dtype: float64"
9,Montevideo,"0    0.081822
1    0.089210
2    0.093255
3    0.098753
4    0.110554
5    0.111894
6    0.105510
7    0.099207
8    0.090832
9    0.118963
Name: valbin, dtype: float64","0    0.219345
1    0.155194
2    0.140053
3    0.124662
4    0.098857
5    0.079525
6    0.063771
7    0.048029
8    0.035815
9    0.034749
Name: satbin, dtype: float64","1red        0.239641
2orange     0.251037
3yellow     0.073598
4green      0.108418
5cyan       0.070289
6blue       0.196065
7purple     0.020870
8magenta    0.040082
Name: color, dtype: float64"
