city,year,nslices,stdval,stdsat
Dar es Salaam,2012,386,0.2733169232579733,0.2367538224001741
Almaty,2012,6938,0.29013907187163496,0.24585368855657783
Bogota,2012,46650,0.28993731901203534,0.2640945149613259
Lagos,2012,1145,0.2704013206713006,0.26387104307201725
Tel Aviv,2012,18264,0.2861598053536166,0.256537401279632
Asuncion,2012,7106,0.2888269317141824,0.25049141422090154
Manila,2012,82025,0.2886998448244121,0.26827283372519933
Brussels,2012,29106,0.28279120427371995,0.2644298260562758
Bangkok,2012,83789,0.28824439197573165,0.2604027950326455
Amsterdam,2012,83934,0.28421761456254124,0.26509995052260743
Guayaquil,2012,24115,0.2807084005417848,0.2593946131374545
Dhaka,2012,2120,0.28458799947128477,0.23774383842050772
Istanbul,2012,127350,0.2859432694558594,0.2623654462355794
Kampala,2012,1475,0.27846189101238766,0.2647081953040672
Santo Domingo,2012,17467,0.2859453563751014,0.2594783779617023
Paris,2012,202709,0.28812747872803474,0.26404056163514344
Helsinki,2012,17575,0.27827788409307014,0.2571272642158111
Baku,2012,7117,0.2936491578466646,0.26706871276714217
Dubai,2012,20647,0.2893165679198065,0.2576046205633417
Ulan Bator,2012,3746,0.28496100866676566,0.24930658518807527
Montevideo,2012,9203,0.27912652317270537,0.25580112871459193
Mumbai,2012,5861,0.2917056064992699,0.26843755649849477
Sydney,2012,88272,0.29181154396099374,0.2560735220912052
Toronto,2012,110747,0.2842603163979603,0.2591721090033758
Buenos Aires,2012,44234,0.2845397166119552,0.2651775210560603
Beijing,2012,4806,0.28390639153619046,0.26678336363475624
Nairobi,2012,4714,0.28027239180362123,0.24911350962749473
Tokyo,2012,267064,0.2796456956783689,0.25803335010916884
Mecca,2012,10573,0.2896804847090554,0.23192740531043593
Beirut,2012,14195,0.29204822326077823,0.27002681117077637
Damascus,2012,1841,0.29902441754406667,0.2206145633386921
Prague,2012,28867,0.28240021097837187,0.2683009449658057
London,2012,466875,0.28422020306712087,0.25821339706295154
Singapore,2012,65521,0.29213005904590533,0.2691489398522994
Lisbon,2012,12828,0.279694193517826,0.26206228877893706
Sofia,2012,3815,0.28042941847881064,0.2649923335611949
Taipei,2012,25870,0.2810609475471227,0.2644631397778031
Luanda,2012,591,0.27847255810879984,0.2765193329730557
Minsk,2012,24670,0.28336867290153084,0.252590249931557
Cairo,2012,21980,0.29736953344425193,0.26228938258730594
Copenhagen,2012,38971,0.2898626710661225,0.25861611102341453
Kiev,2012,40692,0.2842274456849408,0.26409655545968047
Vienna,2012,25918,0.2834947476326506,0.25904394706830874
Moscow,2012,275377,0.2836970015845098,0.2603578784347687
Ho Chi Minh City,2012,2196,0.27776921125814846,0.2611684514886039
Jakarta,2012,39544,0.285339028923135,0.2661369600679469
Berlin,2012,53601,0.2860066532012313,0.26244057465915704
Baghdad,2012,1234,0.28489127027741495,0.2548065783533404
San Jose,2012,19858,0.2905131699191467,0.25914845155115646
Panama City,2012,2636,0.2825554062968081,0.2452261869930327
Casablanca,2012,1860,0.28776307995678896,0.25316065505555757
Khartoum,2012,131,0.30354091187744525,0.210442175177262
Santiago,2012,109184,0.28502648131357156,0.2640370296430512
Budapest,2012,16987,0.28251573806150077,0.2753641090705087
Stockholm,2012,117741,0.28771019745023024,0.26717536603022435
Doha,2012,17799,0.29403420509915207,0.2552646486734825
Caracas,2012,13401,0.286923916535955,0.2604845154770008
Manama,2012,11454,0.29474085327957267,0.2654390653376438
Los Angeles,2012,80732,0.28914278399735205,0.2611076166997343
Mexico City,2012,154831,0.28847570991551624,0.2598270173787446
San Salvador,2012,10855,0.28522016055369215,0.26440996138809253
Barcelona,2012,167624,0.27981463269069534,0.2582132577382515
San Juan,2012,14515,0.2844138639360398,0.26696316420392296
Amman,2012,2858,0.2850809799070337,0.2610952242863671
Belgrade,2012,11687,0.2834924902779598,0.2498663102874521
Accra,2012,2335,0.2940331530854764,0.2577655596455873
Athens,2012,25725,0.28477975422291085,0.26070823754833794
Rome,2012,104097,0.2830159073891924,0.2627248529644317
Lima,2012,16696,0.27983996844850734,0.2578779345927804
Phnom Penh,2012,4509,0.2840609605275417,0.26214795233968763
Rio de Janeiro,2012,24561,0.2836614556412255,0.2597178098156096
Warsaw,2012,9789,0.28264398620500447,0.26848631194738437
Guatemala City,2012,12172,0.29142242096652754,0.2639232690005758
Bucharest,2012,6912,0.2880464121243333,0.2643101680668472
Seoul,2012,88328,0.2796982797808753,0.25527309711181995
Dublin,2012,79958,0.2847622270580688,0.2660435904665517
Abidjan,2012,672,0.2684988067587444,0.25011087739201937
Kuwait City,2012,44385,0.2985565520521784,0.27410957722397233
Kuala Lumpur,2012,51024,0.28064499177552993,0.2671024616784025
Karachi,2012,856,0.2853905662364004,0.24871501095850865
Cape Town,2012,14536,0.2848591561831362,0.26070638614580993
Kuala Lumpur,2014,549725,0.29188734381633075,0.263448437131326
San Juan,2014,133646,0.29670133371950663,0.26351085911144595
Abidjan,2014,31587,0.29835964377205293,0.2722134367657908
Manama,2014,142623,0.3008824945905443,0.28327153217432016
Mexico City,2014,1194597,0.2946788271579955,0.26863374199931606
Karachi,2014,41232,0.2914070672675847,0.27761579386376684
Kuwait City,2014,355742,0.3059397371981566,0.28191050707046794
Ho Chi Minh City,2014,22128,0.2945858522682663,0.2593514159654629
Kiev,2014,141945,0.2953942418304814,0.2664767818432059
Montevideo,2014,394114,0.28571387647828456,0.2622320191098186
Ulan Bator,2014,146745,0.2882028805044473,0.26457228285694434
San Salvador,2014,260593,0.28944140881992764,0.26376153866488
Singapore,2014,396682,0.2976337916074708,0.2632629424824017
Belgrade,2014,123031,0.28994967309297914,0.26389028673100207
Guayaquil,2014,571290,0.290838155876586,0.27144432777861893
Amsterdam,2014,399438,0.29252356170275484,0.2630123827521661
San Jose,2014,216205,0.2990997808392182,0.27367232417286635
Panama City,2014,85649,0.290605805161157,0.2659715398542612
Amman,2014,125780,0.30359693501243135,0.2754509636513318
Athens,2014,109332,0.28883474136042586,0.26927129488441404
Caracas,2014,646358,0.2861027807717934,0.26325899644722406
Warsaw,2014,65605,0.2906604253552598,0.26840373771635306
Dublin,2014,656866,0.3035376046639304,0.2723195065177912
Copenhagen,2014,172299,0.29658099689660317,0.26584182897117103
Baghdad,2014,94350,0.2990652667228294,0.2773403854953852
Baku,2014,61997,0.29865182154353137,0.2727541782140283
Los Angeles,2014,752966,0.30359259601105504,0.2630280256829353
Santiago,2014,653836,0.29334244021636163,0.27287689418556726
Seoul,2014,392885,0.28642584815451555,0.2612189249559118
Khartoum,2014,9341,0.29837955213584505,0.27593914984311696
Budapest,2014,67561,0.28662793154730204,0.2639785628567836
Accra,2014,84062,0.29741972767728453,0.2768110147002251
Dhaka,2014,16437,0.2921086968848624,0.2706242188991773
Dar es Salaam,2014,28861,0.2896953566544625,0.2701242742802268
Casablanca,2014,40608,0.29474344674937836,0.28072882717932796
Damascus,2014,23830,0.30182388183773856,0.27986286743241484
Lagos,2014,75898,0.2959220767257187,0.2732206987083252
Jakarta,2014,1448731,0.2892327625838741,0.2629189478696306
Barcelona,2014,872184,0.2913632631294548,0.2640598264570208
Toronto,2014,641224,0.3030244814870417,0.2639519070688572
Santo Domingo,2014,463303,0.2919970878153572,0.2706933918918819
Dubai,2014,190338,0.29788709833098226,0.26809252111631754
Nairobi,2014,129793,0.28820740655659893,0.26564885356820817
Cape Town,2014,186652,0.28898767683686705,0.26267799330809083
Beijing,2014,23324,0.2899785041805348,0.26511422930856643
Paris,2014,1259737,0.29905340458845314,0.2666625522722777
Buenos Aires,2014,981829,0.2876559221916843,0.26573719717694705
Almaty,2014,37937,0.29906238082181386,0.2712341287789166
Rome,2014,514312,0.2924321973078434,0.26367557463453334
Lima,2014,319055,0.29428010974180047,0.2705854900961799
Bogota,2014,928405,0.297811736686668,0.27479473378127184
Manila,2014,1012126,0.3007447044625883,0.26429236792312355
Bucharest,2014,32211,0.2970721874024993,0.27740483359596185
Kampala,2014,38650,0.2916743637149391,0.2734747394623149
Istanbul,2014,1301132,0.29438968720218694,0.2755403280132447
Vienna,2014,127508,0.2931724883297657,0.2651205661321612
Moscow,2014,468516,0.2953504814612953,0.2578598019796465
Mecca,2014,289938,0.3002765309440906,0.276583871614751
Berlin,2014,277678,0.28827527793475666,0.26187421008537215
Tel Aviv,2014,78529,0.2903734379013841,0.25572666734459004
Tokyo,2014,1696125,0.280464672244513,0.25030132893771767
London,2014,2655384,0.29182087804492524,0.26103936070133066
Lisbon,2014,112968,0.2897632319536464,0.2625726924701617
Taipei,2014,120005,0.2864706453024802,0.2585509197021634
Brussels,2014,198386,0.29257237405302183,0.26764670667785095
Asuncion,2014,295003,0.2905000103807266,0.271018717438751
Luanda,2014,9263,0.3054078064257758,0.278085972908874
Doha,2014,207675,0.2978355603229699,0.27209492813975245
Guatemala City,2014,238183,0.2964479704953251,0.26928793312777766
Rio de Janeiro,2014,278011,0.2966354985657832,0.26221579612844303
Beirut,2014,249359,0.30806555652288053,0.2792593307150474
Minsk,2014,265444,0.29687603396912504,0.26168169660913576
Prague,2014,96552,0.2882650193432594,0.2622642975497992
Cairo,2014,259516,0.2996556473586628,0.2808163490004485
Mumbai,2014,121293,0.29326291016843503,0.2740967900869314
Sydney,2014,342965,0.2960085267967064,0.25893948107995285
Phnom Penh,2014,38956,0.2923761127204515,0.26145685100842125
Bangkok,2014,1176191,0.2973231025536728,0.25730509435946797
Helsinki,2014,119987,0.29002917890637125,0.2660139546180681
Sofia,2014,33763,0.2819600372073955,0.26658338315135055
Stockholm,2014,334241,0.3009273786289978,0.2659615630726868
