city,year,nslices
Dar es Salaam,2012,386
Almaty,2012,6938
Bogota,2012,46650
Lagos,2012,1145
Tel Aviv,2012,18264
Asuncion,2012,7106
Manila,2012,82025
Brussels,2012,29106
Bangkok,2012,83789
Amsterdam,2012,83934
Guayaquil,2012,24115
Dhaka,2012,2120
Istanbul,2012,127350
Kampala,2012,1475
Santo Domingo,2012,17467
Paris,2012,202709
Helsinki,2012,17575
Baku,2012,7117
Dubai,2012,20647
Ulan Bator,2012,3746
Montevideo,2012,9203
Mumbai,2012,5861
Sydney,2012,88272
Toronto,2012,110747
Buenos Aires,2012,44234
Beijing,2012,4806
Nairobi,2012,4714
Tokyo,2012,267064
Mecca,2012,10573
Beirut,2012,14195
Damascus,2012,1841
Prague,2012,28867
London,2012,466875
Singapore,2012,65521
Lisbon,2012,12828
Sofia,2012,3815
Taipei,2012,25870
Luanda,2012,591
Minsk,2012,24670
Cairo,2012,21980
Copenhagen,2012,38971
Kiev,2012,40692
Vienna,2012,25918
Moscow,2012,275377
Ho Chi Minh City,2012,2196
Jakarta,2012,39544
Berlin,2012,53601
Baghdad,2012,1234
San Jose,2012,19858
Panama City,2012,2636
Casablanca,2012,1860
Khartoum,2012,131
Santiago,2012,109184
Budapest,2012,16987
Stockholm,2012,117741
Doha,2012,17799
Caracas,2012,13401
Manama,2012,11454
Los Angeles,2012,80732
Mexico City,2012,154831
San Salvador,2012,10855
Barcelona,2012,167624
San Juan,2012,14515
Amman,2012,2858
Belgrade,2012,11687
Accra,2012,2335
Athens,2012,25725
Rome,2012,104097
Lima,2012,16696
Phnom Penh,2012,4509
Rio de Janeiro,2012,24561
Warsaw,2012,9789
Guatemala City,2012,12172
Bucharest,2012,6912
Seoul,2012,88328
Dublin,2012,79958
Abidjan,2012,672
Kuwait City,2012,44385
Kuala Lumpur,2012,51024
Karachi,2012,856
Cape Town,2012,14536
Kuala Lumpur,2014,549725
San Juan,2014,133646
Abidjan,2014,31587
Manama,2014,142623
Mexico City,2014,1194597
Karachi,2014,41232
Kuwait City,2014,355742
Ho Chi Minh City,2014,22128
Kiev,2014,141945
Montevideo,2014,394114
Ulan Bator,2014,146745
San Salvador,2014,260593
Singapore,2014,396682
Belgrade,2014,123031
Guayaquil,2014,571290
Amsterdam,2014,399438
San Jose,2014,216205
Panama City,2014,85649
Amman,2014,125780
Athens,2014,109332
Caracas,2014,646358
Warsaw,2014,65605
Dublin,2014,656866
Copenhagen,2014,172299
Baghdad,2014,94350
Baku,2014,61997
Los Angeles,2014,752966
Santiago,2014,653836
Seoul,2014,392885
Khartoum,2014,9341
Budapest,2014,67561
Accra,2014,84062
Dhaka,2014,16437
Dar es Salaam,2014,28861
Casablanca,2014,40608
Damascus,2014,23830
Lagos,2014,75898
Jakarta,2014,1448731
Barcelona,2014,872184
Toronto,2014,641224
Santo Domingo,2014,463303
Dubai,2014,190338
Nairobi,2014,129793
Cape Town,2014,186652
Beijing,2014,23324
Paris,2014,1259737
Buenos Aires,2014,981829
Almaty,2014,37937
Rome,2014,514312
Lima,2014,319055
Bogota,2014,928405
Manila,2014,1012126
Bucharest,2014,32211
Kampala,2014,38650
Istanbul,2014,1301132
Vienna,2014,127508
Moscow,2014,468516
Mecca,2014,289938
Berlin,2014,277678
Tel Aviv,2014,78529
Tokyo,2014,1696125
London,2014,2655384
Lisbon,2014,112968
Taipei,2014,120005
Brussels,2014,198386
Asuncion,2014,295003
Luanda,2014,9263
Doha,2014,207675
Guatemala City,2014,238183
Rio de Janeiro,2014,278011
Beirut,2014,249359
Minsk,2014,265444
Prague,2014,96552
Cairo,2014,259516
Mumbai,2014,121293
Sydney,2014,342965
Phnom Penh,2014,38956
Bangkok,2014,1176191
Helsinki,2014,119987
Sofia,2014,33763
Stockholm,2014,334241
