Center,Country,lat,lon,tweet20111,tweet20112,tweet20113,tweet20114,tweet20115,tweet20116,tweet20117,tweet20118,tweet20119,tweet201110,tweet201111,tweet201112,tweet20121,tweet20122,tweet20123,tweet20124,tweet20125,tweet20126,tweet20127,tweet20128,tweet20129,tweet201210,tweet201211,tweet201212,tweet20131,tweet20132,tweet20133,tweet20134,tweet20135,tweet20136,tweet20137,tweet20138,tweet20139,tweet201310,tweet201311,tweet201312,tweet20141,tweet20142,tweet20143,tweet20144,tweet20145,tweet20146,tweet20147,tweet20148,tweet20149,tweet201410,tweet201411,tweet201412,actor20111,actor20112,actor20113,actor20114,actor20115,actor20116,actor20117,actor20118,actor20119,actor201110,actor201111,actor201112,actor20121,actor20122,actor20123,actor20124,actor20125,actor20126,actor20127,actor20128,actor20129,actor201210,actor201211,actor201212,actor20131,actor20132,actor20133,actor20134,actor20135,actor20136,actor20137,actor20138,actor20139,actor201310,actor201311,actor201312,actor20141,actor20142,actor20143,actor20144,actor20145,actor20146,actor20147,actor20148,actor20149,actor201410,actor201411,actor201412
Tokyo,Japan,35.70902589999999,139.73199250000002,0,0,0,0,0,0,0,0,249,3120,4913,6805,6797,6216,7353,8767,8888,7967,9329,9842,11709,13487,14898,16502,15271,13348,18404,17129,20008,20451,22241,24658,25068,26629,32398,45227,40613,40234,55255,59234,67543,64317,31447,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1453,2099,2997,2969,2744,3210,3876,3894,3489,3830,4346,4650,5250,5548,5881,5546,4612,6343,5818,6923,7246,7230,8524,8430,8501,10861,14513,12419,11786,16813,17165,19583,18598,10869,0,0,0,0,0
Jakarta,Indonesia,-6.2087634000000005,106.84559899999999,0,0,0,0,0,0,0,0,48,232,438,661,835,855,829,1049,1553,2462,3169,3647,4596,6106,6989,10310,12239,13225,14882,17261,22228,25303,30326,33501,33960,36131,37117,56250,52672,45224,51210,52293,57423,58903,28826,0,0,0,0,0,0,0,0,0,0,0,0,0,14,123,172,305,357,396,433,548,766,1089,1348,1681,1991,2485,2842,3898,4415,4817,5328,6146,7410,8347,9316,10475,10691,11746,12304,17485,15877,13825,14659,14697,15181,15641,8977,0,0,0,0,0
Delhi,India,28.6139391,77.20902120000001,0,0,0,0,0,0,0,0,0,40,71,85,172,129,150,181,212,168,263,328,374,462,404,468,408,454,389,351,427,426,387,495,493,757,907,1693,1921,1502,2509,2364,2619,2170,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,46,59,59,70,66,56,64,97,135,145,162,149,197,170,178,185,164,156,158,176,201,216,262,305,556,548,415,486,511,585,523,312,0,0,0,0,0
Manila,Philippines,14.599512400000002,120.98421950000001,0,0,0,0,0,0,0,0,22,484,998,1804,2002,2332,2481,2354,2955,3951,5321,6230,6035,6273,6719,9009,9279,9096,8986,9273,13097,13298,15136,19798,19006,20997,23916,44694,45648,28856,39121,36402,43627,40816,21011,0,0,0,0,0,0,0,0,0,0,0,0,0,7,227,388,678,849,968,1102,1023,1208,1524,1902,2210,2216,2348,2582,3151,3226,2987,2996,2918,3182,3685,3926,4272,4497,4634,5252,7769,7866,5573,6583,6212,6917,7518,5188,0,0,0,0,0
Seoul,South Korea,37.566534999999995,126.9779692,0,0,0,0,0,0,0,0,14,1131,1720,2618,2422,2214,2375,2930,3047,2659,3170,3305,3193,4037,4721,5507,4711,4287,4685,4969,5546,5932,5393,6496,7047,7449,8043,15726,12472,6990,12611,12479,16066,15712,6467,0,0,0,0,0,0,0,0,0,0,0,0,0,7,623,818,1225,1180,1071,1164,1291,1252,1149,1237,1443,1390,1692,1689,2129,1751,1511,1676,1683,1832,1909,1665,1866,1901,2163,2334,4022,2990,1948,2824,2882,3287,3373,1797,0,0,0,0,0
Shanghai,China,31.230415999999998,121.473701,0,0,0,0,0,0,0,0,4,94,112,170,100,197,188,265,292,322,333,317,369,813,832,1037,916,666,766,889,952,476,372,772,810,856,802,725,467,573,1052,1333,1426,1609,759,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,64,72,61,92,103,136,138,125,148,130,196,263,276,302,259,239,239,260,265,206,199,283,282,306,329,288,235,234,395,472,485,463,268,0,0,0,0,0
Karachi,Pakistan,24.861462200000002,67.00993879999999,0,0,0,0,0,0,0,0,0,19,4,19,22,21,27,23,36,43,63,89,53,80,93,127,106,106,108,124,239,200,295,238,259,348,491,1261,1305,988,862,1161,1612,2220,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,14,13,12,16,14,17,18,34,35,32,37,51,42,53,49,58,89,68,80,83,87,118,141,235,232,163,158,224,264,308,192,0,0,0,0,0
Beijing,China,39.904211,116.407395,0,0,0,0,0,0,0,0,38,50,89,54,78,112,110,148,186,170,149,144,232,516,407,366,452,330,491,545,459,286,267,381,403,409,404,436,363,426,793,1040,949,812,383,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,45,35,45,57,58,71,98,79,87,78,104,153,144,143,152,118,155,155,165,142,132,181,178,152,161,184,164,133,232,301,273,315,141,0,0,0,0,0
New York City,United States,40.7127837,-74.00594129999999,0,0,0,0,0,0,0,0,212,4422,6758,8031,8063,8831,10218,10904,10957,12161,12236,12781,14240,16693,14606,16626,16187,14372,17134,19214,20346,23402,25333,26290,27742,32004,35567,48705,51049,53813,64523,68732,70664,73382,31924,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2104,3094,3797,3795,4042,4986,5331,5205,5774,5889,6064,6610,7477,6943,7784,7205,6495,7571,8111,8793,10076,10364,10682,10737,11800,13878,18604,17928,17761,22344,23243,23589,24662,12580,0,0,0,0,0
Guangzhou,China,23.12911,113.264385,0,0,0,0,0,0,0,0,2,41,41,30,79,76,99,101,142,101,103,120,156,294,134,241,173,158,130,170,136,117,158,168,171,189,206,241,203,243,303,590,583,454,269,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,24,21,32,37,40,44,53,42,39,52,71,81,55,69,69,66,47,66,68,58,63,81,79,90,89,105,89,71,103,162,155,145,88,0,0,0,0,0
