actors,city,tweets,year,pop,country,lon,lat
755,Cape Town,2316,2012,3458, South Africa,18.4240553,-33.9248685
5070,Cape Town,31217,2014,3693, South Africa,18.4240553,-33.9248685
1073,Lima,2789,2012,9121, Peru,-77.0427934,-12.046374
9958,Lima,55520,2014,9668, Peru,-77.0427934,-12.046374
29,Abidjan,105,2012,4368, Ivory Coast,-4.0082563,5.3599517
789,Abidjan,5448,2014,4765, Ivory Coast,-4.0082563,5.3599517
1361,Taipei,3847,2012,8338, Taiwan,121.5654177,25.0329694
4006,Taipei,18959,2014,7317, Taiwan,121.5654177,25.0329694
881,Helsinki,2628,2012,1131, Finland,24.938379,60.1698557
3793,Helsinki,19283,2014,1203, Finland,24.938379,60.1698557
127,Lagos,278,2012,11547, Nigeria,3.3792057,6.5243793
3090,Lagos,15423,2014,12549, Nigeria,3.3792057,6.5243793
2386,Buenos Aires,7010,2012,13639, Argentina,-58.3815591,-34.6036844
28344,Buenos Aires,164937,2014,13913, Argentina,-58.3815591,-34.6036844
25,Luanda,89,2012,5204, Angola,13.2894368,-8.8399876
364,Luanda,1297,2014,5654, Angola,13.2894368,-8.8399876
8129,Mexico City,24398,2012,19463, Mexico,-99.133208,19.4326077
35815,Mexico City,196143,2014,20300, Mexico,-99.133208,19.4326077
5166,Toronto,16831,2012,6139, Canada,-79.3831843,43.653226
18389,Toronto,99372,2014,6345, Canada,-79.3831843,43.653226
793,San Jose,3147,2012,1515, Costa Rica,-84.0907246,9.9280694
5124,San Jose,36467,2014,1571, Costa Rica,-84.0907246,9.9280694
847,Doha,2827,2012,600, Qatar,51.5310398,25.2854473
4805,Doha,36592,2014,600, Qatar,51.5310398,25.2854473
804,Santo Domingo,2811,2012,2221, Dominican Republic,-69.9312117,18.4860575
9804,Santo Domingo,76445,2014,2294, Dominican Republic,-69.9312117,18.4860575
325,Beijing,721,2012,17311, China,116.407395,39.904211
1061,Beijing,4080,2014,19277, China,116.407395,39.904211
1584,Kiev,6189,2012,2812, Ukraine,30.5234,50.4501
3711,Kiev,23058,2014,2819, Ukraine,30.5234,50.4501
695,Caracas,2188,2012,3244, Venezuela,-66.9036063,10.4805937
13226,Caracas,115859,2014,2917, Venezuela,-66.9036063,10.4805937
