actors,city,tweets,year
755,Cape Town,2316,2012
5070,Cape Town,31217,2014
1073,Lima,2789,2012
9958,Lima,55520,2014
29,Abidjan,105,2012
789,Abidjan,5448,2014
1361,Taipei,3847,2012
4006,Taipei,18959,2014
881,Helsinki,2628,2012
3793,Helsinki,19283,2014
127,Lagos,278,2012
3090,Lagos,15423,2014
2386,Buenos Aires,7010,2012
28344,Buenos Aires,164937,2014
25,Luanda,89,2012
364,Luanda,1297,2014
8129,Mexico City,24398,2012
35815,Mexico City,196143,2014
5166,Toronto,16831,2012
18389,Toronto,99372,2014
793,San Jose,3147,2012
5124,San Jose,36467,2014
847,Doha,2827,2012
4805,Doha,36592,2014
804,Santo Domingo,2811,2012
9804,Santo Domingo,76445,2014
325,Beijing,721,2012
1061,Beijing,4080,2014
1584,Kiev,6189,2012
3711,Kiev,23058,2014
695,Caracas,2188,2012
13226,Caracas,115859,2014
4822,Seoul,14044,2012
10187,Seoul,62787,2014
3012,Singapore,9773,2012
8134,Singapore,63767,2014
1691,Copenhagen,5833,2012
5848,Copenhagen,27186,2014
860,Tel Aviv,2813,2012
2791,Tel Aviv,12217,2014
1824,Kuwait City,7195,2012
6850,Kuwait City,58115,2014
136,Ulan Bator,619,2012
1478,Ulan Bator,24513,2014
1535,Rio de Janeiro,4044,2012
8642,Rio de Janeiro,43678,2014
6381,Istanbul,19885,2012
45613,Istanbul,214086,2014
3895,Sydney,13466,2012
11072,Sydney,53536,2014
756,Lisbon,2022,2012
4458,Lisbon,18283,2014
355,Nairobi,830,2012
3882,Nairobi,23508,2014
617,Manama,1856,2012
3130,Manama,24373,2014
8103,Barcelona,26241,2012
27161,Barcelona,143352,2014
57,Baghdad,183,2012
1557,Baghdad,19505,2014
1009,Guayaquil,4038,2012
11525,Guayaquil,98722,2014
9164,Moscow,41568,2012
13914,Moscow,74859,2014
2843,Berlin,8190,2012
10699,Berlin,45915,2014
50,Damascus,301,2012
617,Damascus,4698,2014
195,Ho Chi Minh City,364,2012
660,Ho Chi Minh City,3588,2014
901,San Juan,2211,2012
5043,San Juan,21823,2014
599,Belgrade,1817,2012
2959,Belgrade,20499,2014
1401,Prague,4313,2012
4695,Prague,15704,2014
254,Phnom Penh,689,2012
1214,Phnom Penh,6544,2014
625,Beirut,2238,2012
3318,Beirut,43238,2014
4737,Amsterdam,12873,2012
16522,Amsterdam,62975,2014
1646,Brussels,4430,2012
7672,Brussels,31967,2014
1297,Vienna,4000,2012
4764,Vienna,20543,2014
62,Karachi,151,2012
941,Karachi,7573,2014
4941,Rome,16022,2012
16031,Rome,83706,2014
12516,Tokyo,41738,2012
47981,Tokyo,269636,2014
3456,Dublin,11947,2012
15840,Dublin,100004,2014
1309,Athens,3984,2012
3811,Athens,18262,2014
496,San Salvador,1797,2012
5946,San Salvador,47136,2014
744,Mecca,1835,2012
7371,Mecca,52599,2014
2654,Jakarta,6843,2012
52122,Jakarta,259884,2014
3120,Kuala Lumpur,8033,2012
19331,Kuala Lumpur,86756,2014
103,Dhaka,339,2012
659,Dhaka,2773,2014
2434,Bogota,7636,2012
22786,Bogota,161461,2014
37,Dar es Salaam,76,2012
842,Dar es Salaam,5048,2014
5288,Los Angeles,12336,2012
26464,Los Angeles,116832,2014
913,Budapest,2626,2012
3360,Budapest,10882,2014
81,Kampala,238,2012
1214,Kampala,6636,2014
3789,Manila,12570,2012
20082,Manila,162490,2014
222,Sofia,589,2012
1170,Sofia,5915,2014
151,Casablanca,298,2012
1374,Casablanca,7635,2014
467,Mumbai,973,2012
3750,Mumbai,20970,2014
228,Almaty,1039,2012
786,Almaty,6198,2014
4334,Stockholm,17501,2012
10278,Stockholm,51766,2014
5198,Santiago,17377,2012
18479,Santiago,108207,2014
167,Accra,382,2012
1953,Accra,14382,2014
706,Minsk,3785,2012
4177,Minsk,46045,2014
215,Amman,502,2012
2434,Amman,22950,2014
434,Montevideo,1505,2012
6462,Montevideo,65218,2014
3884,Bangkok,12869,2012
20857,Bangkok,180654,2014
18,Khartoum,23,2012
400,Khartoum,1752,2014
241,Panama City,455,2012
2241,Panama City,14713,2014
22713,London,70221,2012
93525,London,411213,2014
260,Baku,1130,2012
1520,Baku,10527,2014
419,Asuncion,1230,2012
8608,Asuncion,50770,2014
1240,Dubai,3243,2012
7183,Dubai,31834,2014
363,Bucharest,1073,2012
1268,Bucharest,5724,2014
744,Cairo,3611,2012
5063,Cairo,52906,2014
632,Guatemala City,1935,2012
6529,Guatemala City,42896,2014
9374,Paris,30736,2012
37831,Paris,194659,2014
547,Warsaw,1574,2012
2456,Warsaw,11002,2014
