,city,country,population,popkm12,popkm14,tweet_count_total,continent,dev,gni,twfirst6,twlast6,pctincrease,tw.2012-01,tw.2012-02,tw.2012-03,tw.2012-04,tw.2012-05,tw.2012-06,tw.2012-07,tw.2012-08,tw.2012-09,tw.2012-10,tw.2012-11,tw.2012-12,tw.2013-01,tw.2013-02,tw.2013-03,tw.2013-04,tw.2013-05,tw.2013-06,tw.2013-07,tw.2013-08,tw.2013-09,tw.2013-10,tw.2013-11,tw.2013-12,tw.2014-01,tw.2014-02,tw.2014-03,tw.2014-04,tw.2014-05,tw.2014-06,change
77,Tokyo,Japan,37843000," 4,300 "," 4,400 ",4129315,Asia,High income,36680,45988,327196,611.481256,6797,6216,7353,8767,8888,7967,9329,9842,11709,13487,14898,16502,15271,13348,18404,17129,20008,20451,22241,24658,25068,26629,32398,45227,40613,40234,55255,59234,67543,64317,7.11481256
37,Jakarta,Indonesia,30539000," 9,400 "," 9,600 ",4539924,Asia,Lower middle income,3440,7583,317725,4089.964394,835,855,829,1049,1553,2462,3169,3647,4596,6106,6989,10310,12239,13225,14882,17261,22228,25303,30326,33501,33960,36131,37117,56250,52672,45224,51210,52293,57423,58903,41.89964394
51,Manila,Philippines,24123000," 15,400 "," 14,400 ",2069500,Asia,Lower middle income,3550,16075,234470,1358.600311,2002,2332,2481,2354,2955,3951,5321,6230,6035,6273,6719,9009,9279,9096,8986,9273,13097,13298,15136,19798,19006,20997,23916,44694,45648,28856,39121,36402,43627,40816,14.58600311
70,Seoul,South Korea,23480000," 11,500 "," 10,100 ",835105,Asia,High income,27450,15647,76330,387.8251422,2422,2214,2375,2930,3047,2659,3170,3305,3193,4037,4721,5507,4711,4287,4685,4969,5546,5932,5393,6496,7047,7449,8043,15726,12472,6990,12611,12479,16066,15712,4.878251422
39,Karachi,Pakistan,22123000," 18,300 "," 22,800 ",62607,Asia,Lower middle income,1440,172,8148,4637.209302,22,21,27,23,36,43,63,89,53,80,93,127,106,106,108,124,239,200,295,238,259,348,491,1261,1305,988,862,1161,1612,2220,47.37209302
12,Beijing,China,21009000," 5,000 "," 5,100 ",39182,Asia,Upper middle income,7930,804,4383,445.1492537,78,112,110,148,186,170,149,144,232,516,407,366,452,330,491,545,459,286,267,381,403,409,404,436,363,426,793,1040,949,812,5.451492537
53,Mexico City,Mexico,20063000," 9,500 "," 9,800 ",2061315,North America,Upper middle income,9710,25566,233427,813.0368458,2833,3127,3770,4307,5388,6141,7280,7025,8045,9608,10222,11517,12121,10877,12937,13594,14104,17233,18083,18478,19103,21021,24564,29694,28669,28077,37505,40594,45497,53085,9.130368458
57,Mumbai,India,17712000," 30,900 "," 32,300 ",107346,Asia,Lower middle income,1600,1007,22106,2095.233366,145,175,127,139,200,221,313,469,477,560,541,643,872,633,777,763,890,904,919,1068,1247,1516,1866,4047,4117,2439,3507,3596,4352,4095,21.95233366
56,Moscow,Russia,16170000," 3,500 "," 3,400 ",1541119,Europe,Upper middle income,11450,48937,93243,90.53681264,5463,6840,8081,9040,10510,9003,7683,6959,9142,9707,9871,9571,7686,7362,8033,8248,9051,9239,8066,9056,10667,11164,11629,13236,11539,12395,16127,17967,17949,17266,1.905368126
28,Dhaka,Bangladesh,15669000," 44,400 "," 44,000 ",15565,Asia,Lower middle income,1190,322,2868,790.6832298,42,43,33,74,61,69,89,80,120,114,66,134,108,120,126,86,138,146,154,197,150,225,231,339,283,386,402,451,539,807,8.906832298
21,Cairo,Egypt,15600000," 10,400 "," 8,898 ",381958,Africa,Lower middle income,3340,3689,58280,1479.831933,459,318,339,617,772,1184,568,732,879,1286,2256,2152,2075,4212,1531,1656,2183,2268,2828,3142,3725,4592,6127,13572,10997,7830,7326,8180,12299,11648,15.79831933
48,Los Angeles,United States,15058000," 2,400 "," 2,400 ",4006168,North America,High income,55980,13844,146112,955.4175094,2110,1928,2282,2378,2204,2942,2288,3016,3258,4030,4855,4980,5511,4939,6121,6510,7293,9283,9621,10254,9911,11011,13720,17814,20721,19883,24124,26010,25277,30097,10.55417509
10,Bangkok,Thailand,14998000," 3,200 "," 6,100 ",2061050,Asia,Upper middle income,5720,14041,214201,1425.539491,1857,1803,1973,2288,2804,3316,3916,3721,4221,5504,5596,6312,5785,5190,7190,6929,8378,10057,11483,12550,13907,17661,22434,38508,34829,23847,35571,38573,40437,40944,15.25539491
20,Buenos Aires,Argentina,14122000," 5,200 "," 5,300 ",2034166,South America,Upper middle income,12460,7362,190982,2494.159196,917,1033,1219,1317,1258,1618,2008,3000,3723,4875,5298,5592,4698,5264,6647,7401,8396,8776,9243,9317,13172,15029,18237,33029,26341,23985,27397,30358,38172,44729,25.94159196
